day,policy,saturation,memory,backlog_start,arrivals,closed,backlog,missed,gross,liability,recovered,legitimate_margin,authentication_cost,operating_cost,value,service_work,capacity,scenario
59,fixed_0.2,0.20000000,0.20000000,1651,255,167,1739,2,91890.77558361,79393.63010424,28357.86852800,5103.42857143,154.28571429,164.57142857,-46251.19014767,182.50000000,182.85714286,Base
60,fixed_0.2,0.20000000,0.20000000,1739,253,166,1826,2,96228.15343650,83141.12456914,26367.85230719,5103.42857143,154.28571429,164.57142857,-51988.70083338,182.00000000,182.85714286,Base
61,fixed_0.2,0.20000000,0.20000000,1826,209,172,1863,4,83058.77077609,71762.77795054,25410.02048480,5103.42857143,154.28571429,164.57142857,-41568.18603717,182.75000000,182.85714286,Base
62,fixed_0.2,0.20000000,0.20000000,1863,209,165,1907,3,78575.21883546,67888.98907384,19660.42085454,5103.42857143,154.28571429,164.57142857,-43443.99679073,182.75000000,182.85714286,Base
63,fixed_0.2,0.20000000,0.20000000,1907,218,167,1958,2,89873.03632379,77650.30338376,23511.81381981,5103.42857143,154.28571429,164.57142857,-49353.91813537,182.50000000,182.85714286,Base
64,fixed_0.2,0.20000000,0.20000000,1958,197,167,1988,2,74705.60345788,64545.64138761,26862.03974781,5103.42857143,154.28571429,164.57142857,-32899.03021122,182.75000000,182.85714286,Base
65,fixed_0.2,0.20000000,0.20000000,1988,245,167,2066,2,97666.94024097,84384.23636820,23446.87447712,5103.42857143,154.28571429,164.57142857,-56152.79046251,182.25000000,182.85714286,Base
66,fixed_0.2,0.20000000,0.20000000,2066,202,167,2101,3,79386.81583191,68590.20887877,22721.69748370,5103.42857143,154.28571429,164.57142857,-41083.93996650,182.50000000,182.85714286,Base
67,fixed_0.2,0.20000000,0.20000000,2101,217,166,2152,3,79322.42150200,68534.57217773,23138.22908132,5103.42857143,154.28571429,164.57142857,-40611.77166783,182.25000000,182.85714286,Base
68,fixed_0.2,0.20000000,0.20000000,2152,218,173,2197,6,83680.58087248,72300.02187382,23080.08189131,5103.42857143,154.28571429,164.57142857,-44435.36855394,182.50000000,182.85714286,Base
69,fixed_0.2,0.20000000,0.20000000,2197,215,171,2241,5,80541.17279045,69587.57329095,22318.90664487,5103.42857143,154.28571429,164.57142857,-42484.09521751,182.75000000,182.85714286,Base
70,fixed_0.2,0.20000000,0.20000000,2241,224,174,2291,9,85772.73714042,74107.64488932,28253.49411571,5103.42857143,154.28571429,164.57142857,-41069.57934504,182.50000000,182.85714286,Base
71,fixed_0.2,0.20000000,0.20000000,2291,203,168,2326,3,76114.44717786,65762.88236167,20510.39639821,5103.42857143,154.28571429,164.57142857,-40467.91453489,182.00000000,182.85714286,Base
72,fixed_0.2,0.20000000,0.20000000,2326,203,171,2358,7,82623.56253612,71386.75803121,24656.35358439,5103.42857143,154.28571429,164.57142857,-41945.83301825,182.75000000,182.85714286,Base
73,fixed_0.2,0.20000000,0.20000000,2358,209,175,2392,10,78602.40383685,67912.47691504,26608.85924357,5103.42857143,154.28571429,164.57142857,-36519.04624290,182.75000000,182.85714286,Base
74,fixed_0.2,0.20000000,0.20000000,2392,221,172,2441,6,81944.68590702,70800.20862366,28128.54478587,5103.42857143,154.28571429,164.57142857,-37887.09240922,182.00000000,182.85714286,Base
75,fixed_0.2,0.20000000,0.20000000,2441,200,169,2472,5,75751.11301118,65448.96164166,29445.47945480,5103.42857143,154.28571429,164.57142857,-31218.91075829,182.75000000,182.85714286,Base
76,fixed_0.2,0.20000000,0.20000000,2472,217,171,2518,5,83852.47203725,72448.53584019,23435.80238659,5103.42857143,154.28571429,164.57142857,-44228.16202503,182.00000000,182.85714286,Base
77,fixed_0.2,0.20000000,0.20000000,2518,228,171,2575,6,82336.12592009,71138.41279496,26975.07770769,5103.42857143,154.28571429,164.57142857,-39378.76365869,182.00000000,182.85714286,Base
78,fixed_0.2,0.20000000,0.20000000,2575,194,185,2584,18,74304.55205415,64199.13297479,31906.83414725,5103.42857143,154.28571429,164.57142857,-27507.72739897,182.00000000,182.85714286,Base
79,fixed_0.2,0.20000000,0.20000000,2584,237,199,2622,35,89540.92172888,77363.35637375,23971.39603941,5103.42857143,154.28571429,164.57142857,-48607.38890577,182.25000000,182.85714286,Base
80,fixed_0.2,0.20000000,0.20000000,2622,221,216,2627,53,84901.31815029,73354.73888185,22409.69256893,5103.42857143,154.28571429,164.57142857,-46160.47488435,182.50000000,182.85714286,Base
81,fixed_0.2,0.20000000,0.20000000,2627,200,222,2605,55,76011.39136752,65673.84214154,25628.21600781,5103.42857143,154.28571429,164.57142857,-35261.05470515,182.50000000,182.85714286,Base
82,fixed_0.2,0.20000000,0.20000000,2605,243,214,2634,48,87604.61805280,75690.38999762,28276.40445228,5103.42857143,154.28571429,164.57142857,-42629.41411677,182.50000000,182.85714286,Base
83,fixed_0.2,0.20000000,0.20000000,2634,196,224,2606,58,76921.80491298,66460.43944481,26014.95404833,5103.42857143,154.28571429,164.57142857,-35660.91396791,182.00000000,182.85714286,Base
0,fixed_0.5,0.50000000,0.22250000,1870,175,182,1863,0,68530.47995904,55509.68876682,32097.05336851,5028.21428571,385.71428571,164.57142857,-18934.70682688,182.00000000,182.85714286,Base
1,fixed_0.5,0.50000000,0.24331250,1863,209,182,1890,0,91565.73945198,74168.24895610,30311.76853301,5028.21428571,385.71428571,164.57142857,-39378.55185166,182.00000000,182.85714286,Base
