block,week,week_in_block,channel,saturation,assignment_probability,prior_memory,memory,displaced_out,displaced_in,attack_attempts,indexed_loss
3,15,4,2,0.80000000,0.33333333,0.73695963,0.78486401,392.43200366,220.91540652,828.48340285,420.93393256
3,15,4,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,279.40180725,1179.40180725,1115.09853679
3,15,4,4,0.50000000,0.33333333,0.25473560,0.44111202,220.55600842,255.29060557,1034.73459715,645.61532216
3,15,4,5,0.80000000,0.33333333,0.55058321,0.74011503,370.05751446,225.39030436,855.33278990,428.56271943
4,16,1,0,0.20000000,0.33333333,0.33891063,0.29723744,148.61871907,269.85752126,1121.23880219,789.01175131
4,16,1,1,0.20000000,0.33333333,0.48901639,0.40231148,201.15573772,259.35011753,1058.19437981,883.84553029
4,16,1,2,0.50000000,0.33333333,0.78486401,0.69940481,349.70240256,229.64078456,879.93838200,686.23482608
4,16,1,3,0.80000000,0.33333333,0.20000000,0.38000000,190.00000000,261.58126507,1071.58126507,518.75518439
4,16,1,4,0.50000000,0.33333333,0.44111202,0.45877841,229.38920589,253.70342390,1024.31421800,694.28058246
4,16,1,5,0.80000000,0.33333333,0.74011503,0.75808052,379.04026012,223.77321305,844.73295293,387.31860040
4,17,2,0,0.20000000,0.33333333,0.33891063,0.26806621,134.03310335,272.90026488,1138.86716153,967.54312319
4,17,2,1,0.20000000,0.33333333,0.48901639,0.34161803,170.80901640,265.54508227,1094.73606587,1023.85908924
4,17,2,2,0.50000000,0.33333333,0.78486401,0.63958336,319.79168179,235.74854919,915.95686740,618.83915232
4,17,2,3,0.80000000,0.33333333,0.20000000,0.50600000,253.00000000,249.10688555,996.10688555,525.18359214
4,17,2,4,0.50000000,0.33333333,0.44111202,0.47114489,235.57244413,252.59239673,1017.01995260,613.09086776
4,17,2,5,0.80000000,0.33333333,0.74011503,0.77065636,385.32818209,222.64124914,837.31306705,403.40078755
4,18,3,0,0.20000000,0.33333333,0.33891063,0.24764634,123.82317235,275.03018542,1151.20701307,1038.86960316
4,18,3,1,0.20000000,0.33333333,0.48901639,0.29913262,149.56631148,269.88155759,1120.31524611,1137.98730292
4,18,3,2,0.50000000,0.33333333,0.78486401,0.59770835,298.85417726,240.02398444,941.16980718,608.12166844
4,18,3,3,0.80000000,0.33333333,0.20000000,0.59420000,297.10000000,240.37481989,943.27481989,616.72264663
4,18,3,4,0.50000000,0.33333333,0.44111202,0.47980142,239.90071089,251.81467771,1011.91396682,762.90864848
4,18,3,5,0.80000000,0.33333333,0.74011503,0.77945945,389.72972746,221.84887439,832.11914693,366.95471715
4,19,4,0,0.20000000,0.33333333,0.33891063,0.23335244,116.67622064,276.52112979,1159.84490915,929.37772862
4,19,4,1,0.20000000,0.33333333,0.48901639,0.26939284,134.69641804,272.91709031,1138.22067228,948.33469663
4,19,4,2,0.50000000,0.33333333,0.78486401,0.56839585,284.19792408,243.01678910,958.81886503,698.96776927
4,19,4,3,0.80000000,0.33333333,0.20000000,0.65594000,327.97000000,234.26237392,906.29237392,440.33275621
